DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall,PM2.5,PM10,PM0.1,PM0.1-0.5,PM0.5-1.0,PM1.0-2.5,PM2.5-10,PM>10,PM1,PM2.5_NanoSampler,Day,Year,Month
2019-11-12,26.5375,2.125,1009.0525,87.125,68.75,18.4,35.0,52.0,1.7239769274420509,3.05287580901209,11.331556679333175,6.428997291919627,9.41004072895485,4.561355620523922,16.108409415787317,22.537406707706943,12,2019,November
2019-11-13,27.5875,0.875,1009.58875,82.625,13.75,5.8,30.0,42.0,1.7239769274420509,3.05287580901209,11.331556679333175,6.428997291919627,9.41004072895485,4.561355620523922,16.108409415787317,22.537406707706943,13,2019,November
2019-11-14,27.7,1.875,1009.0675,81.75,22.5,0.0,24.0,33.0,1.7239769274420509,3.05287580901209,11.331556679333175,6.428997291919627,9.41004072895485,4.561355620523922,16.108409415787317,22.537406707706943,14,2019,November
2019-11-15,26.4375,3.375,1009.35625,86.5,57.5,12.0,19.0,29.0,1.7015749083200618,3.0208328166513536,11.12571641878484,6.323697145640539,9.554707584910439,4.580315825520184,15.848124143756257,22.171821289396792,15,2019,November
2019-11-16,27.2125,3.25,1009.2825,83.875,81.25,3.8,15.0,27.0,1.6791728891980724,2.988789824290617,10.919876158236503,6.21839699936145,9.699374440866027,4.599276030516447,15.587838871725195,21.806235871086642,16,2019,November
2019-11-17,27.875,1.25,1009.39875,81.75,7.5,0.0,17.0,28.0,1.656770870076083,2.95674683192988,10.714035897688166,6.113096853082361,9.844041296821613,4.618236235512709,15.32755359969413,21.44065045277649,17,2019,November
2019-11-18,28.3375,1.875,1009.39375,78.375,93.75,0.0,16.0,25.0,1.6343688509540941,2.9247038395691436,10.508195637139831,6.007796706803272,9.988708152777201,4.637196440508972,15.067268327663069,21.07506503446634,18,2019,November
2019-11-19,27.3,1.375,1008.87625,85.75,17.5,43.4,17.0,26.0,1.6119668318321048,2.8926608472084068,10.302355376591493,5.902496560524183,10.133375008732788,4.6561566455052334,14.806983055632006,20.709479616156187,19,2019,November
2019-11-20,27.5875,2.75,1008.49625,83.75,42.5,0.0,13.0,23.0,1.5895648127101154,2.8606178548476704,10.096515116043157,5.797196414245093,10.278041864688376,4.675116850501496,14.546697783600944,20.343894197846033,20,2019,November
2019-11-21,28.4375,3.375,1009.18125,74.75,48.75,11.0,14.0,30.0,1.5671627935881263,2.8285748624869336,9.890674855494822,5.691896267966005,10.422708720643962,4.694077055497758,14.28641251156988,19.978308779535887,21,2019,November
2019-11-22,26.8625,4.5,1009.88625,84.125,60.0,37.6,14.0,24.0,1.5447607744661367,2.7965318701261968,9.684834594946484,5.586596121686915,10.567375576599549,4.71303726049402,14.026127239538818,19.612723361225733,22,2019,November
2019-11-23,26.8125,4.375,1010.16125,84.5,42.5,15.8,11.0,19.0,1.5223587553441476,2.76448887776546,9.478994334398147,5.481295975407827,10.712042432555137,4.7319974654902826,13.765841967507756,19.24713794291558,23,2019,November
2019-11-24,27.4,2.5,1009.54375,81.25,42.5,31.8,16.0,26.0,1.4999567362221584,2.732445885404723,9.273154073849811,5.375995829128738,10.856709288510725,4.750957670486545,13.505556695476692,18.88155252460543,24,2019,November
2019-11-25,25.575,3.5,1009.62,91.375,62.5,5.8,11.0,17.0,1.477554717100169,2.7004028930439867,9.067313813301475,5.270695682849649,11.001376144466313,4.7699178754828075,13.245271423445633,18.51596710629528,25,2019,November
2019-11-26,26.925,4.625,1008.5024999999999,84.625,80.0,1.2,8.0,15.0,1.4551526979781797,2.6683599006832504,8.86147355275314,5.165395536570561,11.1460430004219,4.788878080479069,12.984986151414569,18.150381687985128,26,2019,November
2019-11-27,27.6375,3.25,1007.94375,81.125,77.5,2.2,11.0,19.0,1.4327506788561903,2.636316908322513,8.6556332922048,5.060095390291471,11.290709856377486,4.807838285475332,12.724700879383505,17.784796269674978,27,2019,November
2019-11-28,27.925,6.0,1007.71625,81.875,90.0,4.8,12.0,24.0,1.4103486597342012,2.6042739159617767,8.449793031656466,4.954795244012382,11.435376712333072,4.826798490471594,12.464415607352443,17.419210851364824,28,2019,November
2019-11-29,28.6375,3.375,1008.36625,78.75,55.0,6.6,14.0,31.0,1.387946640612212,2.57223092360104,8.243952771108127,4.849495097733293,11.580043568288659,4.845758695467856,12.20413033532138,17.053625433054673,29,2019,November
2019-11-30,26.475,3.75,1008.83375,89.375,72.5,29.8,12.0,23.0,1.3655446214902227,2.540187931240303,8.038112510559792,4.744194951454204,11.724710424244247,4.864718900464118,11.943845063290318,16.688040014744523,30,2019,November
2019-12-01,27.0625,3.375,1008.915,84.875,70.0,7.2,12.0,22.0,1.3431426023682334,2.5081449388795667,7.832272250011455,4.638894805175115,11.869377280199835,4.883679105460381,11.683559791259256,16.32245459643437,1,2019,December
2019-12-02,26.7375,1.75,1009.35125,87.375,40.0,11.0,13.0,23.0,1.320740583246244,2.47610194651883,7.626431989463118,4.533594658896026,12.014044136155421,4.902639310456643,11.423274519228192,15.956869178124219,2,2019,December
2019-12-03,26.0,3.125,1009.635,86.875,38.75,4.2,14.0,28.0,1.2983385641242549,2.4440589541580935,7.420591728914783,4.428294512616937,12.15871099211101,4.921599515452905,11.162989247197132,15.591283759814068,3,2019,December
