DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall
2016-01-21 13:00:00,31.9,3.0,1010.69,58.0,70.0,
2016-01-21 16:00:00,30.2,3.0,1008.32,66.0,80.0,
2016-01-21 19:00:00,28.1,0.0,1009.23,81.0,0.0,
2016-01-21 22:00:00,28.0,0.0,1011.66,82.0,0.0,
2016-01-22 01:00:00,27.0,0.0,1011.31,94.0,0.0,0.0
2016-01-22 04:00:00,26.2,0.0,1009.58,93.0,0.0,
2016-01-22 07:00:00,25.6,0.0,1010.62,93.0,0.0,
2016-01-22 10:00:00,28.6,0.0,1013.41,83.0,0.0,
2016-01-22 13:00:00,29.9,9.0,1011.56,74.0,100.0,
2016-01-22 16:00:00,29.0,4.0,1009.78,73.0,50.0,
2016-01-22 19:00:00,27.6,5.0,1011.2,79.0,40.0,
2016-01-22 22:00:00,26.3,0.0,1013.21,93.0,0.0,
2016-01-23 01:00:00,24.8,0.0,1012.49,95.0,0.0,0.0
2016-01-23 04:00:00,24.6,0.0,1010.84,96.0,0.0,
2016-01-23 07:00:00,24.9,0.0,1011.67,95.0,0.0,
2016-01-23 10:00:00,29.9,4.0,1014.08,74.0,20.0,
2016-01-23 13:00:00,30.6,3.0,1012.22,63.0,50.0,
2016-01-23 16:00:00,31.1,9.0,1010.56,62.0,40.0,
2016-01-23 19:00:00,28.6,4.0,1011.45,73.0,10.0,
2016-01-23 22:00:00,27.7,4.0,1013.21,79.0,90.0,
2016-01-24 01:00:00,26.0,6.0,1012.69,92.0,250.0,0.4
2016-01-24 04:00:00,24.4,0.0,1010.7,95.0,0.0,
2016-01-24 07:00:00,25.8,3.0,1012.69,90.0,160.0,
2016-01-24 10:00:00,30.6,7.0,1014.35,68.0,110.0,
2016-01-24 13:00:00,31.4,6.0,1013.21,60.0,30.0,
2016-01-24 16:00:00,30.7,20.0,1010.75,61.0,70.0,
2016-01-24 19:00:00,28.8,9.0,1010.98,72.0,340.0,
2016-01-24 22:00:00,28.4,5.0,1013.11,78.0,120.0,
2016-01-25 01:00:00,27.9,7.0,1012.49,78.0,60.0,27.8
2016-01-25 04:00:00,26.9,6.0,1011.2,85.0,200.0,
2016-01-25 07:00:00,27.7,4.0,1012.02,79.0,170.0,
2016-01-25 10:00:00,29.4,8.0,1014.03,73.0,70.0,
2016-01-25 13:00:00,30.2,4.0,1012.77,66.0,100.0,
2016-01-25 16:00:00,28.2,13.0,1010.2,75.0,90.0,
2016-01-25 19:00:00,27.0,4.0,1010.7,80.0,10.0,
2016-01-25 22:00:00,26.0,3.0,1012.43,92.0,70.0,
2016-01-26 01:00:00,25.2,0.0,1012.72,95.0,0.0,17.6
2016-01-26 04:00:00,25.0,4.0,1010.94,95.0,70.0,
2016-01-26 07:00:00,25.2,4.0,1011.51,88.0,120.0,
2016-01-26 10:00:00,25.0,4.0,1014.18,92.0,130.0,
2016-01-26 13:00:00,28.3,12.0,1012.2,72.0,30.0,
2016-01-26 16:00:00,27.9,0.0,1009.8,76.0,0.0,
2016-01-26 19:00:00,27.2,8.0,1010.34,76.0,10.0,
2016-01-26 22:00:00,26.7,4.0,1012.57,88.0,50.0,
2016-01-27 01:00:00,26.1,0.0,1011.66,93.0,0.0,22.2
