Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T*,70T**,71T,72T,73T,74T,75T,76T,77T,78T,79T,80T,81T
2019-01-23 00:00:00,,41.0,41.0,39.0,,36.0,50.0,60.0,47.0,45.0,49.0,47.0,58.0,43.0,55.0,,45.0,45.0,50.0,48.0,,,,38.0,67.0,76.0,,43.0,37.0,35.0,46.0,30.0,35.0,37.0,31.0,40.0,34.0,30.0,41.0,41.0,27.0,,,36.0,,,21.0,23.0,34.0,,24.0,48.0,38.0,32.0,,30.0,23.0,28.0,,16.0,47.0,39.0,,52.0,15.0,
2019-01-24 00:00:00,,48.0,45.0,39.0,,36.0,51.0,55.0,46.0,43.0,45.0,46.0,56.0,38.0,56.0,,45.0,48.0,49.0,51.0,,,74.0,59.0,80.0,76.0,,40.0,39.0,37.0,51.0,43.0,45.0,31.0,23.0,39.0,37.0,32.0,45.0,56.0,24.0,,,48.0,,,24.0,27.0,23.0,,28.0,43.0,47.0,29.0,,42.0,36.0,11.0,,20.0,46.0,51.0,,73.0,20.0,
2019-01-25 00:00:00,,60.0,63.0,59.0,,50.0,74.0,86.0,74.0,71.0,66.0,66.0,81.0,56.0,87.0,,70.0,65.0,89.0,57.0,,,83.0,58.0,87.0,106.0,,51.0,47.0,43.0,60.0,43.0,51.0,32.0,25.0,43.0,37.0,29.0,46.0,60.0,33.0,,,54.0,,,26.0,32.0,18.0,14.0,30.0,47.0,54.0,27.0,,64.0,40.0,17.0,,14.0,59.0,54.0,,84.0,22.0,
2019-01-26 00:00:00,,51.0,50.0,52.0,,46.0,64.0,72.0,60.0,58.0,61.0,57.0,70.0,52.0,70.0,,51.0,54.0,62.0,63.0,56.0,,66.0,53.0,89.0,103.0,,65.0,57.0,48.0,62.0,54.0,56.0,30.0,27.0,40.0,34.0,22.0,40.0,50.0,36.0,,,37.0,,,25.0,34.0,26.0,33.0,27.0,42.0,47.0,24.0,,51.0,31.0,23.0,,17.0,70.0,62.0,,76.0,21.0,
2019-01-27 00:00:00,,40.0,42.0,43.0,,42.0,50.0,43.0,47.0,46.0,50.0,47.0,53.0,43.0,48.0,,39.0,41.0,47.0,49.0,52.0,,47.0,41.0,77.0,67.0,,43.0,34.0,38.0,53.0,41.0,39.0,43.0,44.0,54.0,43.0,28.0,40.0,45.0,22.0,,,45.0,,,19.0,26.0,27.0,37.0,30.0,52.0,44.0,31.0,,33.0,31.0,27.0,,22.0,53.0,55.0,,64.0,15.0,
2019-01-28 00:00:00,,55.0,54.0,51.0,,49.0,65.0,63.0,60.0,57.0,63.0,59.0,66.0,51.0,62.0,,54.0,57.0,62.0,55.0,56.0,,61.0,50.0,82.0,103.0,,49.0,46.0,42.0,59.0,46.0,54.0,44.0,44.0,45.0,45.0,30.0,46.0,58.0,34.0,,,46.0,,,25.0,25.0,36.0,60.0,34.0,53.0,45.0,32.0,,44.0,35.0,31.0,,20.0,73.0,66.0,,73.0,16.0,
2019-01-29 00:00:00,,65.0,67.0,61.0,,56.0,,87.0,71.0,71.0,72.0,65.0,76.0,61.0,74.0,,71.0,71.0,75.0,63.0,53.0,,66.0,51.0,83.0,134.0,,57.0,50.0,43.0,65.0,65.0,54.0,45.0,46.0,49.0,39.0,35.0,46.0,63.0,33.0,,,39.0,,,21.0,24.0,39.0,51.0,32.0,57.0,50.0,33.0,,53.0,27.0,37.0,,22.0,74.0,64.0,,82.0,18.0,
2019-01-30 00:00:00,,79.0,84.0,81.0,,70.0,94.0,104.0,92.0,84.0,89.0,90.0,93.0,78.0,86.0,,77.0,92.0,84.0,88.0,79.0,,91.0,72.0,89.0,113.0,,56.0,44.0,50.0,74.0,62.0,74.0,47.0,47.0,49.0,51.0,47.0,53.0,68.0,24.0,,,46.0,,,17.0,20.0,40.0,30.0,30.0,62.0,55.0,39.0,,70.0,30.0,39.0,,23.0,75.0,65.0,,100.0,12.0,
2019-01-31 00:00:00,,58.0,59.0,52.0,,56.0,69.0,87.0,66.0,71.0,70.0,69.0,71.0,65.0,84.0,,56.0,,65.0,81.0,83.0,,103.0,79.0,102.0,97.0,,46.0,30.0,47.0,62.0,45.0,55.0,39.0,38.0,52.0,60.0,47.0,59.0,70.0,19.0,,,49.0,,,16.0,20.0,39.0,22.0,33.0,55.0,65.0,42.0,,69.0,31.0,25.0,,23.0,68.0,68.0,,98.0,11.0,
2019-02-01 00:00:00,,32.0,34.0,39.0,,33.0,43.0,52.0,44.0,41.0,45.0,50.0,47.0,38.0,43.0,,33.0,34.0,43.0,45.0,51.0,,76.0,50.0,53.0,35.0,,30.0,21.0,24.0,42.0,32.0,33.0,38.0,42.0,51.0,45.0,36.0,45.0,56.0,22.0,,,31.0,,,18.0,21.0,31.0,32.0,33.0,47.0,50.0,34.0,,51.0,31.0,27.0,,25.0,72.0,48.0,,78.0,12.0,
2019-02-02 00:00:00,,29.0,32.0,32.0,,29.0,37.0,48.0,40.0,37.0,39.0,46.0,40.0,34.0,45.0,,25.0,30.0,33.0,44.0,59.0,,68.0,56.0,56.0,32.0,,29.0,22.0,30.0,42.0,32.0,32.0,45.0,47.0,57.0,56.0,46.0,58.0,48.0,15.0,,,42.0,,,13.0,16.0,35.0,51.0,33.0,51.0,58.0,39.0,,48.0,34.0,31.0,,26.0,73.0,,,64.0,9.0,
2019-02-03 00:00:00,,21.0,26.0,25.0,,21.0,28.0,31.0,29.0,26.0,29.0,36.0,31.0,24.0,29.0,,20.0,25.0,27.0,29.0,25.0,,60.0,42.0,30.0,27.0,,,22.0,25.0,30.0,29.0,36.0,30.0,29.0,53.0,55.0,43.0,56.0,54.0,12.0,,,66.0,,,12.0,13.0,29.0,34.0,40.0,40.0,61.0,39.0,,46.0,49.0,20.0,,32.0,60.0,,,48.0,8.0,
2019-02-04 00:00:00,,20.0,27.0,28.0,,21.0,30.0,38.0,31.0,27.0,30.0,35.0,31.0,27.0,29.0,,21.0,21.0,24.0,32.0,39.0,,65.0,42.0,33.0,23.0,,22.0,15.0,20.0,23.0,23.0,21.0,23.0,22.0,33.0,38.0,31.0,47.0,61.0,16.0,,,76.0,,,17.0,18.0,21.0,40.0,29.0,31.0,65.0,30.0,,35.0,50.0,17.0,,20.0,48.0,41.0,,45.0,12.0,
2019-02-05 00:00:00,,20.0,24.0,28.0,,21.0,29.0,35.0,30.0,24.0,31.0,38.0,34.0,26.0,24.0,,20.0,22.0,28.0,31.0,34.0,,64.0,41.0,32.0,23.0,,21.0,13.0,22.0,24.0,24.0,22.0,20.0,18.0,29.0,41.0,25.0,44.0,70.0,,,,74.0,,,17.0,18.0,24.0,38.0,19.0,29.0,64.0,26.0,,35.0,51.0,18.0,,15.0,39.0,42.0,,46.0,15.0,
2019-02-06 00:00:00,,12.0,17.0,21.0,,17.0,22.0,33.0,24.0,18.0,23.0,29.0,28.0,18.0,21.0,,15.0,17.0,19.0,26.0,29.0,,39.0,30.0,24.0,18.0,,19.0,,16.0,19.0,18.0,15.0,26.0,24.0,47.0,56.0,35.0,67.0,47.0,22.0,,,99.0,,,17.0,24.0,27.0,42.0,30.0,35.0,84.0,32.0,,22.0,49.0,24.0,,15.0,36.0,27.0,,38.0,15.0,
2019-02-07 00:00:00,,16.0,19.0,23.0,,21.0,25.0,37.0,27.0,22.0,24.0,30.0,32.0,21.0,26.0,,19.0,19.0,20.0,28.0,31.0,,43.0,32.0,28.0,22.0,,22.0,,19.0,23.0,21.0,16.0,26.0,24.0,76.0,64.0,68.0,85.0,28.0,20.0,,,94.0,,,16.0,20.0,35.0,42.0,47.0,40.0,58.0,40.0,,25.0,57.0,27.0,,25.0,52.0,34.0,,38.0,11.0,
