Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,58T,67T,68T,69T,70T,71T,72T,73T,75T,76T,77T,79T,80T
2018-02-13 00:00:00,56,,,,52.0,,46.0,60.0,48.0,,60.0,,,,53.0,,,42.0,,71.0,67.0,,37.0,,46.0,,,70.0,65.0,,,,45.0,,,13.0,31.0,21.0,22.0,,,,,,,,,,30.0,61.0,41.0,57.0,12.0
2018-02-14 00:00:00,73,,,,74.0,,72.0,94.0,70.0,,80.0,,,,64.0,,,65.0,,68.0,99.0,,38.0,,56.0,,,67.0,64.0,,,,49.0,,,16.0,53.0,17.0,23.0,,,,,,,,,,35.0,66.0,61.0,64.0,17.0
2018-02-15 00:00:00,57,,,,59.0,,60.0,68.0,60.0,,62.0,,,,57.0,,,80.0,,64.0,64.0,,38.0,,61.0,,,54.0,49.0,,,,57.0,,,19.0,70.0,20.0,25.0,,,,,,,,,,38.0,72.0,72.0,75.0,20.0
2018-02-16 00:00:00,47,,,,45.0,,48.0,54.0,49.0,,44.0,,,,44.0,,,76.0,,54.0,46.0,,27.0,,50.0,,,37.0,34.0,,,,44.0,,,25.0,75.0,24.0,29.0,,,,,,,,,,25.0,63.0,71.0,56.0,28.0
2018-02-17 00:00:00,44,,,,43.0,,47.0,51.0,45.0,,43.0,,,,49.0,,,68.0,,49.0,43.0,,25.0,,50.0,,,41.0,37.0,,,,43.0,,,29.0,70.0,27.0,33.0,,,,,,,,,,24.0,62.0,65.0,54.0,31.0
2018-02-18 00:00:00,39,,,,37.0,,41.0,47.0,39.0,,40.0,,,,43.0,,,51.0,,41.0,37.0,,27.0,,46.0,,,46.0,,,,,56.0,,,27.0,77.0,33.0,39.0,,,,,,,,,,34.0,83.0,55.0,50.0,33.0
2018-02-19 00:00:00,32,,,,32.0,,35.0,43.0,36.0,,35.0,,,,33.0,,,55.0,,43.0,28.0,,23.0,,37.0,,,53.0,57.0,,,,74.0,,,,65.0,23.0,27.0,,,,,,,,,,44.0,94.0,58.0,59.0,14.0
2018-02-20 00:00:00,12,,,,11.0,,17.0,20.0,15.0,,,,,,15.0,,,42.0,,15.0,11.0,,15.0,,22.0,,,55.0,59.0,,,,71.0,,,7.0,58.0,17.0,18.0,,,,,,,,,,46.0,79.0,40.0,29.0,10.0
2018-02-21 00:00:00,17,,,,18.0,,21.0,26.0,20.0,,19.0,,,,18.0,,,29.0,,13.0,16.0,,12.0,,24.0,,,55.0,61.0,,,,41.0,,,8.0,49.0,18.0,20.0,,,,,,,,,,46.0,65.0,33.0,28.0,11.0
2018-02-22 00:00:00,23,,,,22.0,,27.0,33.0,26.0,,23.0,,,,26.0,,,32.0,,28.0,17.0,,11.0,,28.0,,,45.0,43.0,,,,37.0,,,8.0,23.0,15.0,22.0,,,,,,,,,,35.0,47.0,35.0,36.0,12.0
