Date,44T
25/4/2018,31
26/4/2018,27
27/4/2018,23
28/4/2018,27
29/4/2018,29
30/4/2018,30
1/5/2018,27
2/5/2018,23
3/5/2018,30
4/5/2018,20
5/5/2018,20
6/5/2018,25
7/5/2018,36
8/5/2018,32
9/5/2018,42
10/5/2018,38
11/5/2018,36
12/5/2018,27
13/5/2018,28
14/5/2018,28
15/5/2018,33
16/5/2018,37
17/5/2018,31
18/5/2018,44
19/5/2018,36
20/5/2018,26
21/5/2018,34
22/5/2018,35
23/5/2018,27
24/5/2018,29
25/5/2018,23
26/5/2018,25
27/5/2018,35
28/5/2018,19
29/5/2018,20
30/5/2018,33
31/5/2018,39
1/6/2018,31
2/6/2018,37
3/6/2018,37
4/6/2018,37
5/6/2018,42
6/6/2018,45
7/6/2018,46
8/6/2018,39
9/6/2018,42
10/6/2018,50
11/6/2018,67
12/6/2018,52
13/6/2018,55
14/6/2018,47
15/6/2018,53
16/6/2018,44
17/6/2018,21
18/6/2018,19
19/6/2018,19
20/6/2018,19
21/6/2018,36
22/6/2018,31
23/6/2018,28
24/6/2018,36
25/6/2018,22
26/6/2018,34
27/6/2018,30
28/6/2018,35
29/6/2018,40
30/6/2018,28
1/7/2018,31
2/7/2018,37
3/7/2018,33
4/7/2018,43
5/7/2018,33
6/7/2018,36
7/7/2018,38
8/7/2018,39
9/7/2018,18
10/7/2018,29
11/7/2018,31
12/7/2018,32
13/7/2018,49
14/7/2018,44
15/7/2018,45
16/7/2018,48
17/7/2018,42
18/7/2018,32
19/7/2018,51
20/7/2018,45
21/7/2018,36
22/7/2018,21
23/7/2018,29
24/7/2018,36
25/7/2018,46
26/7/2018,42
27/7/2018,32
28/7/2018,28
29/7/2018,21
30/7/2018,21
31/7/2018,23
1/8/2018,34
2/8/2018,31
3/8/2018,33
4/8/2018,36
5/8/2018,43
6/8/2018,27
7/8/2018,45
8/8/2018,40
9/8/2018,22
10/8/2018,23
11/8/2018,31
12/8/2018,33
13/8/2018,40
14/8/2018,46
15/8/2018,44
16/8/2018,43
17/8/2018,58
18/8/2018,24
19/8/2018,44
20/8/2018,50
21/8/2018,42
22/8/2018,25
23/8/2018,27
24/8/2018,29
25/8/2018,43
26/8/2018,41
27/8/2018,43
28/8/2018,29
29/8/2018,23
30/8/2018,19
31/8/2018,24
1/9/2018,31
2/9/2018,26
3/9/2018,21
4/9/2018,18
5/9/2018,26
6/9/2018,26
7/9/2018,27
8/9/2018,26
9/9/2018,27
10/9/2018,21
11/9/2018,23
12/9/2018,20
13/9/2018,21
14/9/2018,19
15/9/2018,14
16/9/2018,18
17/9/2018,24
18/9/2018,23
19/9/2018,32
20/9/2018,28
21/9/2018,26
22/9/2018,23
23/9/2018,19
24/9/2018,31
25/9/2018,26
26/9/2018,33
27/9/2018,32
28/9/2018,22
29/9/2018,32
30/9/2018,40
1/10/2018,38
2/10/2018,32
3/10/2018,27
4/10/2018,20
5/10/2018,31
6/10/2018,25
7/10/2018,12
8/10/2018,
9/10/2018,
10/10/2018,
11/10/2018,
12/10/2018,
13/10/2018,
14/10/2018,32
15/10/2018,27
16/10/2018,23
17/10/2018,28
18/10/2018,25
19/10/2018,20
20/10/2018,23
21/10/2018,23
22/10/2018,27
23/10/2018,
24/10/2018,
25/10/2018,
26/10/2018,
27/10/2018,
28/10/2018,
29/10/2018,
30/10/2018,
31/10/2018,
1/11/2018,
2/11/2018,
3/11/2018,
4/11/2018,
5/11/2018,
6/11/2018,
7/11/2018,
8/11/2018,
9/11/2018,
10/11/2018,
11/11/2018,
12/11/2018,
13/11/2018,14
14/11/2018,17
15/11/2018,13
16/11/2018,14
17/11/2018,17
18/11/2018,16
19/11/2018,25
20/11/2018,25
21/11/2018,15
22/11/2018,16
23/11/2018,25
24/11/2018,28
25/11/2018,28
26/11/2018,44
27/11/2018,21
28/11/2018,14
29/11/2018,15
30/11/2018,18
1/12/2018,20
2/12/2018,16
3/12/2018,20
4/12/2018,11
5/12/2018,16
6/12/2018,12
7/12/2018,10
8/12/2018,11
9/12/2018,14
10/12/2018,17
11/12/2018,18
12/12/2018,14
13/12/2018,23
14/12/2018,27
15/12/2018,21
16/12/2018,14
17/12/2018,19
18/12/2018,11
19/12/2018,12
20/12/2018,22
21/12/2018,30
22/12/2018,34
23/12/2018,41
24/12/2018,36
25/12/2018,33
26/12/2018,45
27/12/2018,40
28/12/2018,30
29/12/2018,30
30/12/2018,20
31/12/2018,23
1/1/2019,
2/1/2019,
3/1/2019,
4/1/2019,
5/1/2019,
6/1/2019,
7/1/2019,
8/1/2019,
9/1/2019,
10/1/2019,
11/1/2019,
12/1/2019,
13/1/2019,
14/1/2019,
15/1/2019,
16/1/2019,
17/1/2019,
18/1/2019,
19/1/2019,
20/1/2019,
21/1/2019,
22/1/2019,
23/1/2019,
24/1/2019,
25/1/2019,
26/1/2019,
27/1/2019,
28/1/2019,
29/1/2019,
30/1/2019,
31/1/2019,
1/2/2019,
2/2/2019,
3/2/2019,
4/2/2019,
5/2/2019,
6/2/2019,
7/2/2019,
8/2/2019,
9/2/2019,
10/2/2019,
11/2/2019,
12/2/2019,
13/2/2019,
14/2/2019,
15/2/2019,
16/2/2019,
17/2/2019,
18/2/2019,
19/2/2019,
20/2/2019,
21/2/2019,
22/2/2019,
23/2/2019,
24/2/2019,
25/2/2019,
26/2/2019,
27/2/2019,27
28/2/2019,31
1/3/2019,32
2/3/2019,30
3/3/2019,32
4/3/2019,34
5/3/2019,33
6/3/2019,29
7/3/2019,
8/3/2019,
9/3/2019,
10/3/2019,
11/3/2019,
12/3/2019,
13/3/2019,
14/3/2019,
15/3/2019,
16/3/2019,
17/3/2019,
18/3/2019,
19/3/2019,
20/3/2019,
21/3/2019,27
22/3/2019,30
23/3/2019,39
24/3/2019,41
25/3/2019,35
26/3/2019,20
27/3/2019,24
28/3/2019,
29/3/2019,30
30/3/2019,37
31/3/2019,44
1/4/2019,36
2/4/2019,28
3/4/2019,23
4/4/2019,25
5/4/2019,27
6/4/2019,21
7/4/2019,19
8/4/2019,24
9/4/2019,22
10/4/2019,23
11/4/2019,24
12/4/2019,30
13/4/2019,30
14/4/2019,28
15/4/2019,25
16/4/2019,29
17/4/2019,34
18/4/2019,30
19/4/2019,33
20/4/2019,30
21/4/2019,30
22/4/2019,25
23/4/2019,31
24/4/2019,17
25/4/2019,25
26/4/2019,32
27/4/2019,42
28/4/2019,28
29/4/2019,30
30/4/2019,29
1/5/2019,24
2/5/2019,26
3/5/2019,28
4/5/2019,27
5/5/2019,20
6/5/2019,18
7/5/2019,27
8/5/2019,21
9/5/2019,27
10/5/2019,34
11/5/2019,34
12/5/2019,27
13/5/2019,35
14/5/2019,31
15/5/2019,25
16/5/2019,26
17/5/2019,30
